2021-07-13 15:28:02,417 | train | INFO | Config : {'random_seed': 42}
2021-07-15 10:42:45,657 | train | INFO | loss: 2.11576819
2021-07-15 10:42:59,232 | train | INFO | loss: 2.04829383
2021-07-15 10:43:11,577 | train | INFO | loss: 3.28628993
2021-07-15 10:43:28,407 | train | INFO | loss: 2.29697561
2021-07-15 10:43:39,061 | train | INFO | loss: 1.75908470
2021-07-15 10:44:00,837 | train | INFO | loss: 2.24779058
2021-07-15 10:44:19,032 | train | INFO | loss: 3.51733851
2021-07-15 10:44:31,577 | train | INFO | loss: 1.61604428
2021-07-15 10:44:46,863 | train | INFO | loss: 2.79297161
2021-07-15 10:44:54,396 | train | INFO | loss: 0.72449297
2021-07-15 10:45:12,826 | train | INFO | loss: 3.07501841
2021-07-15 10:45:24,231 | train | INFO | loss: 3.11811233
2021-07-15 10:45:35,845 | train | INFO | loss: 2.80391908
2021-07-15 10:45:48,701 | train | INFO | loss: 4.48999882
2021-07-15 10:46:05,179 | train | INFO | loss: 2.64949179
2021-07-15 10:46:16,223 | train | INFO | loss: 3.49984741
2021-07-15 10:46:30,482 | train | INFO | loss: 2.52498150
2021-07-15 10:46:41,304 | train | INFO | loss: 2.82927227
2021-07-15 10:46:50,449 | train | INFO | loss: 2.53154898
2021-07-15 10:47:06,447 | train | INFO | loss: 1.65414798
2021-07-15 10:47:20,999 | train | INFO | loss: 2.93133807
2021-07-15 10:47:35,953 | train | INFO | loss: 3.23139095
2021-07-15 10:47:48,742 | train | INFO | loss: 2.08184600
2021-07-15 10:47:58,024 | train | INFO | loss: 2.81382942
2021-07-15 10:48:12,611 | train | INFO | loss: 1.22378683
2021-07-15 10:48:24,303 | train | INFO | loss: 1.67050445
2021-07-15 10:48:37,708 | train | INFO | loss: 1.56390810
2021-07-15 10:48:50,453 | train | INFO | loss: 0.48284233
2021-07-15 10:49:02,881 | train | INFO | loss: 1.89189994
2021-07-15 10:49:14,195 | train | INFO | loss: 1.60597873
2021-07-15 10:49:26,197 | train | INFO | loss: 1.44000125
2021-07-15 10:49:45,063 | train | INFO | loss: 1.91645420
2021-07-15 10:50:02,582 | train | INFO | loss: 1.09374022
2021-07-15 10:50:17,232 | train | INFO | loss: 1.78254211
2021-07-15 10:50:31,692 | train | INFO | loss: 1.72135329
2021-07-15 10:50:44,120 | train | INFO | loss: 1.68064153
2021-07-15 10:51:00,348 | train | INFO | loss: 1.83183599
2021-07-15 10:51:15,062 | train | INFO | loss: 2.38550162
2021-07-15 10:51:30,914 | train | INFO | loss: 1.45937324
2021-07-15 10:51:43,176 | train | INFO | loss: 0.64828360
2021-07-15 10:51:54,563 | train | INFO | loss: 1.07188821
2021-07-15 10:52:07,341 | train | INFO | loss: 1.20182931
2021-07-15 10:52:18,505 | train | INFO | loss: 2.02436924
2021-07-15 10:52:34,169 | train | INFO | loss: 0.83467603
2021-07-15 10:52:45,663 | train | INFO | loss: 0.73681217
2021-07-15 10:53:03,394 | train | INFO | loss: 1.44172406
2021-07-15 10:53:15,812 | train | INFO | loss: 1.32842433
2021-07-15 10:53:36,954 | train | INFO | loss: 0.87107885
2021-07-15 10:53:46,095 | train | INFO | loss: 1.03498280
2021-07-15 10:54:04,332 | train | INFO | loss: 1.40306854
2021-07-15 10:54:14,524 | train | INFO | loss: 1.94210708
2021-07-15 10:54:29,637 | train | INFO | loss: 1.00849688
2021-07-15 10:54:39,043 | train | INFO | loss: 0.66823691
2021-07-15 10:54:52,178 | train | INFO | loss: 1.05753255
2021-07-15 10:54:59,822 | train | INFO | loss: 1.04829943
2021-07-15 10:55:10,458 | train | INFO | loss: 1.66642070
2021-07-15 10:55:23,028 | train | INFO | loss: 0.91634482
2021-07-15 10:55:37,856 | train | INFO | loss: 0.76709342
2021-07-15 10:55:53,643 | train | INFO | loss: 2.05020261
2021-07-15 10:56:04,570 | train | INFO | loss: 1.21235752
2021-07-15 10:56:21,027 | train | INFO | loss: 2.03382540
2021-07-15 10:56:30,365 | train | INFO | loss: 1.74907303
2021-07-15 10:56:43,607 | train | INFO | loss: 0.88815606
2021-07-15 10:56:58,815 | train | INFO | loss: 1.09760344
2021-07-15 10:57:08,368 | train | INFO | loss: 2.24281502
2021-07-15 10:57:21,689 | train | INFO | loss: 1.05505276
2021-07-15 10:57:29,420 | train | INFO | loss: 1.21100438
2021-07-15 10:57:46,957 | train | INFO | loss: 1.31743181
2021-07-15 10:58:03,604 | train | INFO | loss: 1.20622444
2021-07-15 10:58:17,544 | train | INFO | loss: 0.75553334
2021-07-15 10:58:28,640 | train | INFO | loss: 1.00563574
2021-07-15 10:58:43,636 | train | INFO | loss: 1.13165128
2021-07-15 10:58:56,731 | train | INFO | loss: 1.48395848
2021-07-15 10:59:12,215 | train | INFO | loss: 1.95192111
2021-07-15 10:59:27,287 | train | INFO | loss: 0.79815328
2021-07-15 10:59:39,872 | train | INFO | loss: 0.70246261
2021-07-15 10:59:49,139 | train | INFO | loss: 0.89336354
2021-07-15 10:59:58,880 | train | INFO | loss: 0.24066353
2021-07-15 11:00:10,943 | train | INFO | loss: 0.70513833
2021-07-15 11:00:25,036 | train | INFO | loss: 0.86098790
2021-07-15 11:00:32,203 | train | INFO | loss: 0.51563686
2021-07-15 11:00:44,311 | train | INFO | loss: 1.21140397
2021-07-15 11:00:53,681 | train | INFO | loss: 0.12472019
2021-07-15 11:01:13,094 | train | INFO | loss: 0.97695798
2021-07-15 11:01:22,450 | train | INFO | loss: 0.56037307
2021-07-15 11:01:31,664 | train | INFO | loss: 0.29225156
2021-07-15 11:01:51,315 | train | INFO | loss: 1.23391259
2021-07-15 11:02:02,654 | train | INFO | loss: 0.47130525
2021-07-15 11:02:14,711 | train | INFO | loss: 1.01000547
2021-07-15 11:02:24,171 | train | INFO | loss: 0.44077748
2021-07-15 11:02:37,143 | train | INFO | loss: 0.45481750
2021-07-15 11:02:49,770 | train | INFO | loss: 0.78386712
2021-07-15 11:03:03,609 | train | INFO | loss: 1.05803549
2021-07-15 11:03:13,669 | train | INFO | loss: 0.72195685
2021-07-15 11:03:28,840 | train | INFO | loss: 0.62311012
2021-07-15 11:03:40,766 | train | INFO | loss: 1.46739340
2021-07-15 11:03:55,975 | train | INFO | loss: 0.76534104
2021-07-15 11:04:10,895 | train | INFO | loss: 0.42945853
2021-07-15 11:04:22,313 | train | INFO | loss: 0.50921428
2021-07-15 11:04:35,368 | train | INFO | loss: 0.34374115
2021-07-15 11:04:43,438 | train | INFO | loss: 0.33002841
2021-07-15 11:04:57,908 | train | INFO | loss: 1.03148508
2021-07-15 11:05:13,517 | train | INFO | loss: 1.28556883
2021-07-15 11:05:26,081 | train | INFO | loss: 1.01461935
2021-07-15 11:05:42,467 | train | INFO | loss: 0.85461271
2021-07-15 11:05:55,751 | train | INFO | loss: 0.33793065
2021-07-15 11:06:07,991 | train | INFO | loss: 1.25816536
2021-07-15 11:06:17,876 | train | INFO | loss: 0.77345103
2021-07-15 11:06:33,425 | train | INFO | loss: 0.55507785
2021-07-15 11:06:52,160 | train | INFO | loss: 1.46527076
2021-07-15 11:07:05,768 | train | INFO | loss: 1.14257884
2021-07-15 11:07:15,745 | train | INFO | loss: 0.45137581
2021-07-15 11:07:25,566 | train | INFO | loss: 0.66815293
2021-07-15 11:07:47,157 | train | INFO | loss: 0.49593145
2021-07-15 11:07:59,965 | train | INFO | loss: 0.78654462
2021-07-15 11:08:14,472 | train | INFO | loss: 0.92543709
2021-07-15 11:08:25,851 | train | INFO | loss: 1.15947986
2021-07-15 11:08:41,140 | train | INFO | loss: 1.39920688
2021-07-15 11:08:54,917 | train | INFO | loss: 0.53485322
2021-07-15 11:09:04,665 | train | INFO | loss: 0.22769009
2021-07-15 11:09:18,608 | train | INFO | loss: 2.00805664
2021-07-15 11:09:30,229 | train | INFO | loss: 0.48670816
2021-07-15 11:09:39,565 | train | INFO | loss: 0.29454079
2021-07-15 11:09:52,161 | train | INFO | loss: 0.40581864
2021-07-15 11:10:31,424 | train | INFO | ref: ["Welcome to Tongyeong's Evergreen Pension located in front of the coastal road in Jangpyeong-ri, Yongnam-myeon, Tongyeong."]
2021-07-15 11:10:31,424 | train | INFO | hyp: ['Welcome to Tongyeong Yongnam-myeon, Tongyeong Yongnam-myeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon, Tongyeong Yongmyeon.']
2021-07-26 16:19:45,349 | train | INFO | Config : {'random_seed': 42, 'batch_size': 4}
2021-07-26 16:19:45,351 | train | INFO | device: cpu
2021-07-26 16:19:45,352 | train | INFO | CUDA is available : False
2021-07-26 16:19:45,352 | train | INFO | PyTorch version : 1.9.0
2021-07-26 16:20:19,927 | train | INFO | loss: 4.80964375
2021-07-26 16:20:36,406 | train | INFO | loss: 3.02871728
2021-07-26 16:20:53,176 | train | INFO | loss: 1.86340594
2021-07-26 16:21:09,774 | train | INFO | loss: 2.68227935
2021-07-26 16:21:25,436 | train | INFO | loss: 3.33421159
2021-07-26 16:21:43,093 | train | INFO | loss: 2.44364309
2021-07-26 16:22:04,656 | train | INFO | loss: 2.87484455
2021-07-26 16:22:20,816 | train | INFO | loss: 2.49708462
2021-07-26 16:22:42,307 | train | INFO | loss: 2.65017033
2021-07-26 16:22:55,503 | train | INFO | loss: 2.44922352
2021-07-26 16:23:07,978 | train | INFO | loss: 1.30474794
2021-07-26 16:23:22,581 | train | INFO | loss: 1.95491421
2021-07-26 16:23:38,342 | train | INFO | loss: 3.33063030
2021-07-26 16:23:55,843 | train | INFO | loss: 2.41058469
2021-07-26 16:24:11,756 | train | INFO | loss: 2.79298377
2021-07-26 16:24:26,168 | train | INFO | loss: 2.54738998
2021-07-26 16:24:34,732 | train | INFO | loss: 1.25506258
2021-07-26 16:24:49,388 | train | INFO | loss: 4.73742533
2021-07-26 16:24:58,462 | train | INFO | loss: 3.05868721
2021-07-26 16:25:07,167 | train | INFO | loss: 2.45040679
2021-07-26 16:25:16,538 | train | INFO | loss: 2.04057908
2021-07-26 16:25:34,164 | train | INFO | loss: 2.54002237
2021-07-26 16:25:45,466 | train | INFO | loss: 2.10815763
2021-07-26 16:25:59,087 | train | INFO | loss: 3.40064287
2021-07-26 16:26:16,453 | train | INFO | loss: 2.80930901
2021-07-26 16:26:28,639 | train | INFO | loss: 3.67823029
2021-07-26 16:26:40,652 | train | INFO | loss: 2.11576819
2021-07-26 16:26:55,638 | train | INFO | loss: 2.04829383
2021-07-26 16:27:11,259 | train | INFO | loss: 3.28628993
2021-07-26 16:27:30,159 | train | INFO | loss: 2.29697561
2021-07-26 16:27:43,176 | train | INFO | loss: 1.75908470
2021-07-26 16:28:04,656 | train | INFO | loss: 2.24779058
2021-07-26 16:28:22,639 | train | INFO | loss: 3.51733851
2021-07-26 16:28:35,480 | train | INFO | loss: 1.61604428
2021-07-26 16:28:50,368 | train | INFO | loss: 2.79297161
2021-07-26 16:29:01,939 | train | INFO | loss: 0.72449297
2021-07-26 16:29:23,031 | train | INFO | loss: 3.07501841
2021-07-26 16:29:38,695 | train | INFO | loss: 3.11811233
2021-07-26 16:29:52,933 | train | INFO | loss: 2.80391908
2021-07-26 16:30:08,729 | train | INFO | loss: 4.48999882
2021-07-26 16:30:30,362 | train | INFO | loss: 2.64949179
2021-07-26 16:30:46,285 | train | INFO | loss: 3.49984741
2021-07-26 16:31:01,642 | train | INFO | loss: 2.52498150
2021-07-26 16:31:16,953 | train | INFO | loss: 2.82927227
2021-07-26 16:31:29,650 | train | INFO | loss: 2.53154898
2021-07-26 16:31:50,499 | train | INFO | loss: 1.65414798
2021-07-26 16:32:09,263 | train | INFO | loss: 2.93133807
2021-07-26 16:48:57,251 | train | INFO | Config : {'random_seed': 42, 'batch_size': 4}
2021-07-26 16:48:57,253 | train | INFO | device: cpu
2021-07-26 16:48:57,253 | train | INFO | CUDA is available : False
2021-07-26 16:48:57,253 | train | INFO | PyTorch version : 1.9.0
2021-07-26 16:49:29,906 | train | INFO | loss: 2.01820254
2021-07-26 16:49:43,867 | train | INFO | loss: 2.25580454
2021-07-26 16:49:59,067 | train | INFO | loss: 2.14020896
2021-07-26 16:50:18,708 | train | INFO | loss: 3.18238616
2021-07-26 16:50:28,951 | train | INFO | loss: 2.79244733
2021-07-26 16:50:42,320 | train | INFO | loss: 3.67752385
2021-07-26 16:50:59,086 | train | INFO | loss: 2.95667720
2021-07-26 16:51:10,299 | train | INFO | loss: 2.12636089
2021-07-26 16:51:27,146 | train | INFO | loss: 2.03576970
2021-07-26 16:51:41,159 | train | INFO | loss: 4.33952475
2021-07-26 16:51:55,274 | train | INFO | loss: 2.04618573
2021-07-26 16:52:08,326 | train | INFO | loss: 1.84866273
2021-07-26 16:52:26,571 | train | INFO | loss: 3.52022886
2021-07-26 16:52:38,738 | train | INFO | loss: 3.66577601
2021-07-26 16:52:50,526 | train | INFO | loss: 2.77241492
2021-07-26 16:53:05,466 | train | INFO | loss: 1.62022364
2021-07-26 16:53:17,373 | train | INFO | loss: 2.41363764
2021-07-26 16:53:33,240 | train | INFO | loss: 3.53381324
2021-07-26 16:53:54,271 | train | INFO | loss: 2.27013755
2021-07-26 16:54:05,696 | train | INFO | loss: 2.80284452
2021-07-26 16:54:13,608 | train | INFO | loss: 2.49952435
2021-07-26 16:54:30,821 | train | INFO | loss: 3.04976797
2021-07-26 16:54:48,408 | train | INFO | loss: 3.14100409
2021-07-26 16:55:02,223 | train | INFO | loss: 3.51243210
2021-07-26 16:55:20,374 | train | INFO | loss: 3.05245829
2021-07-26 16:55:34,415 | train | INFO | loss: 2.30804491
2021-07-26 16:55:55,166 | train | INFO | loss: 1.78745079
2021-07-26 16:56:06,823 | train | INFO | loss: 1.74117839
2021-07-26 16:56:20,136 | train | INFO | loss: 0.29815447
2021-07-26 16:56:40,010 | train | INFO | loss: 1.61873829
2021-07-26 16:56:58,323 | train | INFO | loss: 1.71914101
2021-07-26 16:57:17,680 | train | INFO | loss: 1.61442864
2021-07-26 16:57:32,896 | train | INFO | loss: 0.99887872
2021-07-26 16:57:45,603 | train | INFO | loss: 1.29159594
2021-07-26 16:57:55,111 | train | INFO | loss: 1.09765029
2021-07-26 16:58:05,392 | train | INFO | loss: 0.86432546
2021-07-26 16:58:17,522 | train | INFO | loss: 1.10004234
2021-07-26 16:58:35,484 | train | INFO | loss: 1.36138713
2021-07-26 16:58:49,034 | train | INFO | loss: 1.93176997
2021-07-26 16:59:03,608 | train | INFO | loss: 1.35581756
2021-07-26 16:59:14,068 | train | INFO | loss: 1.79037726
2021-07-26 16:59:23,548 | train | INFO | loss: 1.55719543
2021-07-26 16:59:34,442 | train | INFO | loss: 0.94663954
2021-07-26 16:59:54,751 | train | INFO | loss: 1.28342521
2021-07-26 17:00:09,583 | train | INFO | loss: 2.65689731
2021-07-26 17:00:25,726 | train | INFO | loss: 0.78985918
2021-07-26 17:00:39,838 | train | INFO | loss: 2.39224124
2021-07-26 17:00:49,078 | train | INFO | loss: 0.96875322
2021-07-26 17:01:02,688 | train | INFO | loss: 1.49627936
2021-07-26 17:01:13,086 | train | INFO | loss: 0.83320123
2021-07-26 17:01:24,125 | train | INFO | loss: 0.97392309
2021-07-26 17:01:34,998 | train | INFO | loss: 1.46578002
2021-07-26 17:01:47,984 | train | INFO | loss: 1.16057265
2021-07-26 17:01:58,848 | train | INFO | loss: 0.60407859
2021-07-26 17:02:09,149 | train | INFO | loss: 1.62533545
2021-07-26 17:02:24,626 | train | INFO | loss: 0.60344863
2021-07-26 17:02:42,127 | train | INFO | loss: 1.41935170
2021-07-26 17:02:52,749 | train | INFO | loss: 0.84642088
2021-07-26 17:03:09,267 | train | INFO | loss: 0.96821791
2021-07-26 17:03:21,538 | train | INFO | loss: 1.68557513
2021-07-26 17:03:32,874 | train | INFO | loss: 1.70331371
2021-07-26 17:03:53,025 | train | INFO | loss: 0.65649140
2021-07-26 17:04:09,571 | train | INFO | loss: 0.48594016
2021-07-26 17:04:23,504 | train | INFO | loss: 0.24570686
2021-07-26 17:04:33,540 | train | INFO | loss: 0.89317024
2021-07-26 17:04:47,610 | train | INFO | loss: 0.18547399
2021-07-26 17:04:59,056 | train | INFO | loss: 0.40549371
2021-07-26 17:05:15,139 | train | INFO | loss: 1.08477402
2021-07-26 17:05:30,001 | train | INFO | loss: 0.38241515
2021-07-26 17:05:49,550 | train | INFO | loss: 0.92510563
2021-07-26 17:05:55,723 | train | INFO | loss: 0.08206587
2021-07-26 17:06:08,275 | train | INFO | loss: 0.85250968
2021-07-26 17:06:19,488 | train | INFO | loss: 1.19426274
2021-07-26 17:06:38,495 | train | INFO | loss: 0.44257897
2021-07-26 17:06:52,548 | train | INFO | loss: 0.30827746
2021-07-26 17:07:07,602 | train | INFO | loss: 1.34407723
2021-07-26 17:07:19,475 | train | INFO | loss: 0.80272877
2021-07-26 17:07:31,230 | train | INFO | loss: 0.67768872
2021-07-26 17:07:41,630 | train | INFO | ref: ["Welcome to Tongyeong's Evergreen Pension located in front of the coastal road in Jangpyeong-ri, Yongnam-myeon, Tongyeong."]
2021-07-26 17:07:41,630 | train | INFO | hyp: ["Welcome to Tongyeong's Blue Pension located in front of the coastal road in Jangpyeon-myeon-myeon."]
2021-07-26 17:07:47,475 | train | INFO | ref: ["Herb Island's Light Fairy Tale Festival is considered one of the best winter festivals in Korea."]
2021-07-26 17:07:47,475 | train | INFO | hyp: ["Herb Island's Light Fairy Tale Festival is considered one of the best winter festivals in Korea."]
2021-07-26 17:07:52,687 | train | INFO | ref: ['It is a traditional temple in the city center located at the foot of Bongbisan Mountain.']
2021-07-26 17:07:52,688 | train | INFO | hyp: ['It is a traditional temple in the city center located at the foot of Bongbisan Mountain.']
2021-07-26 17:07:57,611 | train | INFO | ref: ['It can be easily climbed by entering the inside routes of Suryong-dong Village.']
2021-07-26 17:07:57,612 | train | INFO | hyp: ['It can be easily climbed by entering the inside routes of Suryong-dong Village.']
2021-07-26 17:08:19,430 | train | INFO | ref: ['Toss explained the meaning of the event, saying, "Like how people share songpyeon (half-moon rice cake) with their family, I also prepared Songpyeon support fund with the heart of wishing to spend a richer Chuseok holiday by giving it to my family, relatives, friends, and people I want to contact after a long time."']
2021-07-26 17:08:19,430 | train | INFO | hyp: ['Toss explained the meaning of the event, saying, "Like how you share songpyeongs with your family, I also prepared songpyeong support fund with the heart of wishing to spend a richer price, as well as to share it with your family, to share it with your family, to contact your family, to friends, and to people who want to contact it for a long time."']
2021-07-26 17:08:27,146 | train | INFO | ref: ["Later, as the sea turned into a barrier to high seclusion, Joseon's world perception changed to a more deformed structure."]
2021-07-26 17:08:27,147 | train | INFO | hyp: ["Later, as the sea turned into a barrier to high quality, Joseon's world perception changed to a more modest structure."]
2021-07-26 17:08:36,436 | train | INFO | ref: ['The detached house is the hipped-and gabled roof of three bays in front space and two bays in side space, and is a -shaped building with a floor space of 14.29 pyeong.']
2021-07-26 17:08:36,437 | train | INFO | hyp: ['The house is a -shaped roof with three front and two side roofs, and is a -shaped building with a diameter of 14.29.']
2021-07-26 17:08:50,495 | train | INFO | ref: ['In winter, you can enjoy the old memories such as sleigh rides on a frozen paddy river, mountain stream excursions, and cave exploration on the riverbank.']
2021-07-26 17:08:50,496 | train | INFO | hyp: ['In winter, you can enjoy the old memories such as rides and rides on the frozen rain, rides on the river, rides on the river, rides on the river, rides on the river, and exploration of the cave.']
2021-07-26 17:09:13,261 | train | INFO | ref: ['The fried rice, which is sprinkled with seaweed flakes, sliced sour kimchi on the seasoning you ate, and stir-fried with sesame oil, is also a delicacy.']
2021-07-26 17:09:13,263 | train | INFO | hyp: ['The fried rice, which is sprinkled with chicken sauce on the memorial I ate, sprinkled with chicken sauce, sprinkled with chicken oil, sprinkled with chicken oil, sprinkled with chicken oil, sprinkled with chicken oil, sprinkled with chicken oil, sprinkled with chicken oil, sprinkled with chicken oil, sprinkled with chicken oil.']
2021-07-26 17:09:24,636 | train | INFO | ref: ['Located in a clean hanok village, rice with seasoned vegetables from Jirisan Mountain restaurant is quietly located on the course of Dullegil (Trail), and the interior is neatly finished with a red clay wall, giving a comfortable feeling.']
2021-07-26 17:09:24,636 | train | INFO | hyp: ['Located in a clean Hanok village, Jirisan Mountain Vegetable Food House is elegantly located on the course of Dullegil, and the interior is cleanly finished with a golden wall, giving a comfortable feeling.']
2021-07-26 17:09:31,577 | train | INFO | ref: ['The admission fee is 2,000 won for the general public, 1,000 won for elementary, middle and high schools, but 50% off during the winter season.']
2021-07-26 17:09:31,577 | train | INFO | hyp: ['The admission fee is 2,000 won for the general public, 1,000 won for the high school and high school, but 50% off during the winter season.']
2021-07-26 17:09:38,530 | train | INFO | ref: ['Gentian, who said that the dragon ascended to heaven, takes the last step as the swordsman gets closer.']
2021-07-26 17:09:38,530 | train | INFO | hyp: ['The courageous man who said that the dragon ascended to heaven takes the last step as the waterman gets closer.']
2021-07-26 17:09:46,240 | train | INFO | ref: ['You can see the historic site in the museum clearly, but if you enjoy the relaxing scenery, it takes a little over 10 minutes.']
2021-07-26 17:09:46,241 | train | INFO | hyp: ['You can see the historic site in the museum, but if you enjoy the relaxing scenery, it takes a little over 10 minutes.']
2021-07-26 17:10:03,011 | train | INFO | ref: ['The Petit Photo Contest, which marks its 11th anniversary this year, was first launched in 2009, and has been attracting attention not only from photo clubs but also from family tourists as well as from photo clubs, with some 1,050 entries being submitted by 2018 since the first year.']
2021-07-26 17:10:03,012 | train | INFO | hyp: ['The "Locktail Photo Contest", which marks its 11th anniversary this year, began for the first time in 2009, and has been attracting attention not only from photo clubs but also from family tourists, including photo clubs, as well as from photo clubs, as well as from photo clubs, as well as from photo clubs.']
2021-07-26 17:10:10,947 | train | INFO | ref: ['After leaving parking and various inconveniences behind, I started walking around the Paju Beopwon-eup woodlands.']
2021-07-26 17:10:10,947 | train | INFO | hyp: ['Later, after leaving parking and various inconveniences behind, I started walking around the Paju-si Court of Pyeongchim.']
2021-07-26 17:10:21,058 | train | INFO | ref: ['Aroma Life, a natural aroma and herb shop, has products such as various herbal teas, herbal enzymes, natural aroma handmade soaps, and bath products with healthy and diverse effects.']
2021-07-26 17:10:21,058 | train | INFO | hyp: ['Aroma Life, a natural aroma and herb shop, has products such as various herbal teas, herbal enzymes, natural aroma handmade soaps, and bath products with healthy and diverse effects.']
2021-07-26 17:10:27,717 | train | INFO | ref: ['Since it is located in Baekdu-daegan, it has a wonderful natural landscape and many traditional cultural properties.']
2021-07-26 17:10:27,718 | train | INFO | hyp: ['Located in Baekdu-dae-dae, it has a beautiful natural landscape and many traditional cultural properties.']
2021-07-26 17:10:33,014 | train | INFO | ref: ['In addition, the scenery around the Mumyeong Falls on the way down is so beautiful.']
2021-07-26 17:10:33,015 | train | INFO | hyp: ['In addition, the scenery around the Mumyeong Falls on the way down is so beautiful.']
2021-07-26 17:10:37,361 | train | INFO | ref: ["It is attracting consumers' attention with both tourism and healing."]
2021-07-26 17:10:37,361 | train | INFO | hyp: ["It is attracting consumers' attention with both tourism and healing."]
2021-07-26 17:10:45,647 | train | INFO | ref: ['Namhae-gun, Gyeongsangnam-do, is struggling to revive the Darangnon in Gachon Village by setting up a long-term maintenance plan.']
2021-07-26 17:10:45,648 | train | INFO | hyp: ["Gyeongnam's South Sea Army is struggling to create a long-term maintenance plan to save Darangnon in Gachon Village."]
2021-07-26 17:10:52,419 | train | INFO | ref: ['The butterfly sleep and flower sleep rooms are more elegant with small attics, and the only bed is in the sweet sleep room.']
2021-07-26 17:10:52,421 | train | INFO | hyp: ['The butterfly sleep and flower sleep are more elegant with small doors, and the only bed is in the sleep room.']
2021-07-26 17:11:02,201 | train | INFO | ref: ['In addition to Jeongchim, the building consists of five parts: Gyeongryujeong, Sadang a shrine, Haengrangchae a servant house, and a mill.']
2021-07-26 17:11:02,201 | train | INFO | hyp: ['In addition to Chongchim, the building consists of five parts: Ryeongryu-jong, Sadang, Haengrangchae, and Banjam-gunchae.']
